review,study_label,year,sample_size,citations_per_year,citation_count,is_open_access,recalled_by_claude,recalled_by_gemini,recalled_by_gpt,recall_pattern,recalled_by_patient,recalled_by_clinician,recalled_by_researcher,role_recall_pattern,design_raw,design_category
CD015264,Areekul 1979,1979,8,0.06,3,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Benjamin 1952,1952,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Chinnock 1952,1952,,0.12,9,0,0,0,1,GPT only,1,0,1,Patient+Researcher,quasi-randomized trial,parallel-group RCT (or unspecified RCT)
CD015264,Craigmile 1956,1956,47,0.01,1,0,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Deshmukh 2010,2010,35,3.38,54,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Fukui 1959,1959,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Gutiérrez-Diaz 1959,1959,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Kudo 1962,1962,40,0.03,2,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Murakami 1962,1962,200,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Scaglione 1955,1955,,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Scrimshaw 1953,1953,,0.12,9,1,0,0,1,GPT only,1,0,1,Patient+Researcher,controlled school supplementation study,other / controlled school supplementation study
CD015264,Scrimshaw 1959,1959,,0.18,12,1,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD015264,Shimazono 1963,1963,184,0.02,1,1,0,0,1,GPT only,0,0,1,Researcher only,controlled trial,other / controlled trial
CD015264,Strand 2020,2020,573,8.33,50,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015264,Taneja 2013,2013,501,4.92,64,1,1,1,1,All three,1,1,1,All three,factorial RCT,parallel-group RCT (or unspecified RCT)
CD015264,Yajnik 2021,2021,109,1.2,6,1,1,0,0,Claude only,0,0,1,Researcher only,RCT,parallel-group RCT (or unspecified RCT)
CD015898,Avdic 2016,2016,301,0.7,7,0,0,1,1,Gemini+GPT,1,1,1,All three,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Berger 2011,2011,139,6.07,91,1,1,1,1,All three,1,1,1,All three,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Bowman 2019,2019,273,2.14,15,1,1,1,1,All three,1,1,1,All three,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Byun 2023,2023,77,2.0,6,0,0,0,1,GPT only,1,1,1,All three,single-center factorial RCT,parallel-group RCT (or unspecified RCT)
CD015898,Chantepie 2017,2017,312,1.22,11,0,1,1,1,All three,1,1,1,All three,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Chantepie 2023,2023,245,3.67,11,0,1,0,1,Claude+GPT,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD015898,Hamm 2021,2021,66,3.6,18,0,1,1,1,All three,1,1,1,All three,single-center RCT,parallel-group RCT (or unspecified RCT)
CD015898,Khodabux 2009,2009,,0.94,16,0,0,0,1,GPT only,1,1,1,All three,two-center controlled before-after study,other / two-center controlled before-after study
CD015898,Lamarche 2019,2019,134,1.43,10,0,0,0,1,GPT only,1,0,0,Patient only,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Maitland 2019,2019,,7.57,53,1,1,0,1,Claude+GPT,1,1,1,All three,multicenter factorial RCT,parallel-group RCT (or unspecified RCT)
CD015898,Marco-Ayala 2024,2024,340,1.5,3,1,0,0,1,GPT only,1,1,1,All three,single-center controlled before-after study,other / single-center controlled before-after study
CD015898,Wong 2005,2005,,0.62,13,0,1,0,1,Claude+GPT,1,1,1,All three,single-center RCT,parallel-group RCT (or unspecified RCT)
CD015934,Akbarpour 2010,2010,32,,,,0,0,1,GPT only,1,1,1,All three,double-blind placebo-controlled RCT,parallel-group RCT (or unspecified RCT)
CD015934,Brown 2021,2021,353,4.8,24,1,1,1,1,All three,1,1,1,All three,cluster-randomized trial,cluster-randomized
CD015934,Chan 2020,2020,,0.83,5,0,0,0,1,GPT only,1,1,1,All three,cluster-randomized parallel study,cluster-randomized
CD015934,Chen 2013,2013,184,2.08,27,1,0,0,1,GPT only,1,1,1,All three,double-blind active-comparator RCT,parallel-group RCT (or unspecified RCT)
CD015934,Gelkopf 2012,2012,53,2.36,33,0,1,0,1,Claude+GPT,1,1,1,All three,randomized controlled study,parallel-group RCT (or unspecified RCT)
CD015934,Hickman 2015,2015,100,3.18,35,1,1,0,1,Claude+GPT,1,1,1,All three,randomized feasibility trial,parallel-group RCT (or unspecified RCT)
CD015934,Metse 2017,2017,754,4.89,44,1,1,1,1,All three,1,1,1,All three,multisite RCT,parallel-group RCT (or unspecified RCT)
CD015934,Prochaska 2014,2014,224,12.42,149,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015934,Stockings 2014,2014,205,4.42,53,1,1,1,1,All three,1,1,1,All three,RCT,parallel-group RCT (or unspecified RCT)
CD015934,Tavakoli-Ardakani 2023,2023,47,0.33,1,0,0,1,1,Gemini+GPT,1,1,1,All three,open-label active-comparator RCT,parallel-group RCT (or unspecified RCT)
CD016085,Avidzba 2024,2024,69,,,,0,0,0,Not recalled,0,0,0,Not recalled,,(no curated design; study was never named by a response)
CD016085,BP-TARGET,2021,318,27.2,136,0,1,1,1,All three,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD016085,CLEVER,2026,80,1.0,1,0,1,0,1,Claude+GPT,1,1,1,All three,single-center RCT,parallel-group RCT (or unspecified RCT)
CD016085,DETECT,2024,30,8.0,16,1,1,0,1,Claude+GPT,1,1,1,All three,single-center feasibility RCT,parallel-group RCT (or unspecified RCT)
CD016085,ENCHANTED,2019,2196,56.29,394,1,1,1,1,All three,1,1,1,All three,multicenter phase III RCT,parallel-group RCT (or unspecified RCT)
CD016085,ENCHANTED2/MT,2022,816,36.25,145,1,1,1,1,All three,1,1,1,All three,multicenter phase III RCT,parallel-group RCT (or unspecified RCT)
CD016085,IDENTIFY,2025,383,12.0,12,0,1,0,1,Claude+GPT,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD016085,OPTIMAL-BP,2023,305,49.67,149,1,1,1,1,All three,1,1,1,All three,multicenter RCT,parallel-group RCT (or unspecified RCT)
CD016085,The BEST-II,2023,120,36.67,110,1,1,1,1,All three,1,1,1,All three,multicenter phase II RCT,parallel-group RCT (or unspecified RCT)
CD016104,AEGEAN,2023,382,182.0,546,1,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,CCTG BR.31,2024,,,,,1,0,1,Claude+GPT,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,CHECKMATE-77T,2024,259,202.5,405,1,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,CHECKMATE-816,2022,182,511.5,2046,1,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,IMPOWER-010,2021,189,218.8,1094,0,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,KEYNOTE-671,2023,362,253.33,760,1,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,NADIM-II,2023,39,125.0,375,1,1,0,1,Claude+GPT,1,1,1,All three,phase II RCT,parallel-group RCT (or unspecified RCT)
CD016104,NEOTORCH,2024,,174.0,348,1,1,0,1,Claude+GPT,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,PEARLS/ KEYNOTE-091,2022,,135.25,541,0,1,1,1,All three,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,RATIONALE-315,2025,181,114.0,114,0,1,0,1,Claude+GPT,1,1,1,All three,phase III RCT,parallel-group RCT (or unspecified RCT)
CD016104,TD-FOREKNOW,2023,25,32.33,97,1,0,0,1,GPT only,1,1,1,All three,phase II RCT,parallel-group RCT (or unspecified RCT)
